-4.3033 -4.9817  3.7894 -2.5757  4.7591  4.1614  2.5985 -2.5762  5.9842 -5.1368
 3.8956 -5.9515 -2.5289  5.9352  5.7575 -2.2666  2.4088 -5.8251  4.5208 -3.9080
-3.0087 -4.3244 -2.0463 -4.6046 -2.2193  4.7617  3.9493 -5.6949  2.4636 -3.6218
 2.6644 -4.8869 -4.7765 -3.2736  3.1178 -5.5146 -2.1058  4.6029 -2.2373 -2.2066
 2.1785 -4.9205  2.6416 -4.4440 -4.3070  5.9808  4.1134 -4.9847  3.4022  5.5068
 4.6612 -4.5024  2.7899 -3.8058 -5.2825 -4.4443  2.9434 -2.3600 -5.2904 -2.7914
 4.6360 -2.9394  2.2672  5.7636 -3.7893  2.9431 -5.1845 -3.2653 -4.4386  4.2464
-5.1604  5.9243  4.3316  3.1435  5.2934  2.5583  4.9266  3.7287 -2.1500 -5.2704
-5.3632  4.9475 -2.9108 -5.3505 -2.5937  4.4115  2.9220 -2.9351 -2.2713  5.2376
-2.1081 -3.3284  3.9377  2.9070  4.1895 -4.8274 -2.3073  3.8478  4.3524  3.6024
 3.5307  5.4437  4.6198 -2.5436 -4.4767  2.1244 -4.7482 -5.4950  5.8810  4.3654
-2.2385  3.4170  4.9240 -5.7150  3.1625  2.3555  3.9077 -4.6868 -3.5851  4.5516
-5.9491  3.2235  4.8419 -3.1553 -4.2786  3.9637 -3.7766 -5.6885 -5.8741  4.7899
 3.6655  5.1893  5.8667  4.2141 -2.3780 -2.5327 -2.7604 -5.0008 -3.5980 -2.2645
 3.7493 -3.7769 -5.5429  2.2249  2.3764 -4.5414 -4.4326  5.8403  4.4378  3.3329
 4.3942  3.5667 -2.5763  5.6765 -3.7877 -3.9187  5.5389 -4.7458  4.4220  5.0955
 4.9366  2.2726 -4.7903 -2.1743  4.8566  5.2417 -3.7179 -2.5375 -5.8578 -4.0506
-5.0502 -3.0975 -5.0166  4.5962 -5.7606 -4.6009  2.5386  2.0844  5.3706  4.9356
-3.0133 -3.1746  2.9217  4.6256 -4.2285 -5.6197 -4.5435  4.8164  3.0802 -3.4530
-3.4428 -5.1995  4.8504 -3.6008 -5.1349  5.3299  2.3457  3.7608  3.0625  2.8558
