-1.0524  1.7320 -1.5200  1.2785 -1.2744  1.6313  1.5881 -1.9567  1.2239 -1.1901
-1.2177 -1.6606  1.2871  1.2696 -1.9342 -1.1294 -1.4253  1.0997  1.1782  1.8344
 1.6104  1.3499  1.9375  1.5559  1.8972  1.6421 -1.2681 -1.9610  1.8587 -1.3443
-1.7466  1.9121  1.0050 -1.2639  1.2472  1.0452 -1.5290  1.1573 -1.2636 -1.8247
-1.0966 -1.0098  1.8578  1.9606 -1.1138 -1.0718 -1.8035  1.0293  1.1655  1.0315
-1.8468  1.0532 -1.4838  1.5400  1.4877  1.0872  1.8490  1.9349 -1.8477 -1.1685
 1.1786  1.3264 -1.7839  1.4749  1.4122  1.9957 -1.1978 -1.8021 -1.3404  1.8227
-1.1662 -1.8660 -1.3398 -1.2959  1.7239 -1.5036 -1.4630 -1.3752  1.9949 -1.1600
 1.5325 -1.2539 -1.8666  1.1676 -1.7350 -1.3843  1.8031  1.0288 -1.8731  1.2767
-1.8137 -1.7039  1.9098 -1.1144  1.4816  1.6384 -1.0422 -1.5676  1.1480 -1.9100
-1.7737 -1.5971 -1.6776 -1.5535  1.6080  1.8645 -1.2726 -1.4926 -1.4953 -1.0674
 1.7718  1.4099  1.0703  1.8622  1.0009 -1.0020 -1.4684  1.7966 -1.9708 -1.4924
 1.3469  1.4600  1.6151 -1.8690 -1.6355  1.9224  1.5714 -1.3273 -1.4633 -1.8251
 1.4502  1.1970  1.9353 -1.2201 -1.1071  1.3312 -1.6351  1.0344 -1.3465 -1.7864
 1.3605 -1.5767  1.7952  1.5546 -1.3056 -1.3362  1.8571 -1.7154 -1.8456 -1.2311
